a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source	
110	-2.013	Bu, Lazarus'un ürkütücü sözlerinin çağdaş yankılanmasıyla ilgili, sadece bunlarda bir devlet yalnızca bazı yaşlı göçmenleri değil aynı zamanda fakirin de fakirini davet ediyormuş gibi görünüyor: "Yorgun, fakir, / Tıkış tıkış kitleler özgürlük nefesi almaya hasret, / Tıklım tıklım karanın perişan istenmeyeni."	It is about the contemporary resonance of Lazarus's startling words, the only ones in which a state has appeared to invite not just any old immigrants, but the poorest of the poor: "Your tired, your poor, / Your huddled masses yearning to breathe free, / The wretched refuse of your teeming shore."	This is about the contemporary echoing of Lazarus's frightening words, and not only does a state seem to be inviting not only some elderly immigrants but also the poor of the poor: "tired, poor, / clogged masses are longing to breathe freedom, / clogged land is not wanted perish."	1	"not just any" vs. "not only"		
626	-1.927	Terör örgütü YPG, DEAŞ karşıtı operasyon kapsamında ateş altına alınan Rakka'da ölümden kaçan sivillerin, kontrolündeki kentlere girmesine izin vermiyor.	Civilians running for their lives from the siege of Raqqa by anti-DAESH forces aren’t allowed by the YPG terrorist group to enter cities they control.	The terrorist organization YPG does not allow civilians fleeing from death to enter controlled cities in Rakka, which is under fire as part of the anti-deaş operation.	0	scope may be off, might be okay		
218	-1.884	"Extremadura Open'ı koruma şansım olmamıştı çünkü kazandığım yılın ertesi takvimden çıkarılmıştı.	"I didn't get to defend the Extremadura Open because that was taken off the schedule the year after I won it.	"I never had a chance to protect Extremadura open because I had been removed from the calendar the next year I won.	0			
631	-1.792	Don Kişot ve Oblomov Gerçekleri ve değişimi gecikerek algılamak ya da hiç algılamamak edebiyat dünyasına da konu olmuştur.	Don Quixote, the Oblomov Realities, and the perception of reality or just not perceiving it at all have comprised much of the world of literature’s subject matter.	Don Quixote and Oblomov have been the subject of the world of literature to detect the facts and change by delay or not at all.	1	meaning is way off (and also negation - we get "not at all" in both versions, but modifying totally different things)		
184	-1.773	Ve bunlar sadece seçilmiş liderlerine konuşan gerçek insanlar: bir öğretmen, bir işyeri sahibi ve bir papaz; trol değil.	And they're just that - real people talking to their elected leaders: a teacher, a business owner and a pastor, not trolls.	And these are the real people who speak only to their chosen leaders: a teacher, a business owner, and a priest; not a troll.	0			
1244	-1.74	"Almanya ile yaşanan ilişkilerde, 'Biz bu ilişkilerden dolayı sıkıntı yaşadık, bu olay yüzünden yatırımlarımız vardı, kaçıyoruz' diyen bir tane bile yatırımcı yok". ifadelerini kullanan Ermut, gelen, gelmekte olan ve takip ettikleri şirketlerin olduğunu kaydetti.	"In the relations with Germany, there isn’t one single investor saying ‘We had experienced some problems and are running away’." said Ermut, adding that there had been potential, entering and other companies that they had been monitoring.	"In the relations with Germany,"we experienced difficulties because of these relations, we had investments because of this event, we are running, "he said," there is not one investor." ermut, who uses his statements, noted that there are companies coming and following.	1	messy		
1910	-1.74	Yok dediler, biz yargıyı bekleyelim.	No, they said, we’ll wait for the judiciary’s decision.	They said No, let's wait for the verdict.	0			
1713	-1.656	Adli soruşturmalarda ön açan, özel ve inatçı bir gayretinin gözlemlendiği, gizli tanığın afaki ve bir temele dayanmayan beyanı dışında adı geçen hakkında hiçbir delil olmadığı gibi tam tersine sergilediği mücadele sonucunda aktif bir terör örgütü karşıtı olduğu bilinen ve bu yönde büyük katkıları olan Yaycı hakkında tahmine dayalı bir değerlendirmenin başsavcılığımızca kıymetlendirilmesinin mümkün olmadığı kararına varılmıştır.	Paving the way for legal investigations, his special and persistent efforts were noticed, while the secret witness had no proof other than his unsupported statement. Contrary to the accusations, Yaycı was an active fighter against this terror group and he had made important contributions to this effort. It was not possible for the Chief Public Prosecutor’s Office to properly evaluate an assessment based on guesswork.	As a result of the fact that there is no evidence whatsoever other than the secret witness's statement on the basis of the afaki and not based on the basis, it has been decided that it is impossible to evaluate an active anti-terrorist organization against the Publisher, which has great contributions in this respect, by our Attorney General.	1	3 sentences! wrong object in negated clause causes potential problems		
274	-1.629	"Hiç kimse bir başkasını, İslam'ı kendisinin anladığı gibi algılayıp yaşamadığından ötürü tekfir edemez"...	"No one can accuse another of blasphemy because the other side does not understand Islam in the way that he does"...	"No one can claim another because they perceive Islam as they understand it."..	1	conspiracy of errors between pronouns and negation		GOOD
166	-1.625	Fakat onu eleştirenleri susturmadı.	But he did not silence his critics.	But he didn't shut her up.	0			
1437	-1.591	Mabedinze ilişmezler, ilişmemiş Haçlılar!	They, Crusaders, won’t harass your sanctuary, didn’t!	They don't attach to the temple, the unbound Crusaders!	1			
1675	-1.517	"Babamız, Paul ve benim mevcut anlaşmazlığa düşmemizi istemezdi." dedi ve "çözüm konusunda hala umutlu" olduğunu ekledi.	"Our father would not have wanted to see Paul and I end up in our current dispute," he said, adding that he was "still hopeful of resolution."	"Our Father, Paul and I would not want to be in conflict. he said, "We are still hopeful about the solution."	1			
857	-1.504	Çocuk aileye şikâyet edilme durumuyla karşı karşıya kalmışsa bu sorunu çözemeyeceği için bunalıma sürüklenme durumu da var.	There’s a scenario that he became depressed because of a problem that he couldn’t deal with if he had to tell his family about it.	If the child is faced with the situation of complaining to the family, it will not solve the problem, there is also the situation of being dragged to depression.	1			
2950	-1.504	Ezan ve sela okuyan Küçükçekmece Gültepe Camisi İmamı Mustafa Baki'nin üzerine yürüyüp engel olmaya çalıştıkları iddia edilen sanıklar Kenan Gülşen ve Nait Yılmaz "üye olmamakla birlikte örgüte bilerek ve isteyerek yardım etme", "görevi yaptırmamak için direnme" ve "hakaret" suçlarından İstanbul 22.	The defendants, Kenan Gülşen and Nait Yılmaz, walked over and tried to prevent the Imam of the Küçükçekmece Gültepe Mosque, Mustafa Baki, from performing the Call to Prayer and the Sala Calls. They were put on trial in the Twenty-Second Istanbul High Criminal Court for ‘knowingly and willingly helping a terrorist group without being a member’, ‘resisting so as to prevent the performance of duties’ and of ‘insult’ crimes	The accused, Kenan Gülşen and nait Yilmaz, who are alleged to have been trying to walk and prevent the Imam of the Gültepe Mosque Imam Mustafa Baki, who reads ezan and Sela, were accused of "knowingly and voluntarily helping the organization", "resisting" and "insulting" crimes against the organization.	1			
2563	-1.497	Nefisleri hesabına partimizden istifade edemeyenler istifa etmiş ne gam?	Those who could not resign because of their ego calculations, now they resign, so what?	Those who can't take advantage of our Party have resigned, what gam?	1			
1790	-1.481	Bunlardan sonuncusu salı günü, yeni kuralların gereksiz fakat kabul edilebilir olduğunu değerlendirdiğini çünkü kendi kurtarma operasyonlarında herhangi bir "ciddi değişiklik ya da engele" neden olmayacağını söyledi.	The latter said on Thursday it regarded the new rules as unnecessary but acceptable as they would not involve any "significant change or impediment" to its rescue operations.	The last one said on Tuesday that the new rules were unnecessary but acceptable because they would not cause any "serious change" in their rescue operations.	0			
850	-1.464	"Çocuğum evde olsun da ne oluyorsa olsun" gözüyle bakıyorlar.	They have the idea "There’s no problem as long as my child stays home".	"My child is at home or whatever happens."	1			
2079	-1.377	Kimse altı yıl önce blog yazarı Maria Elizabeth Macias'ın kuzey sınır eyaleti Tamaulipas'taki ölümünü unutmuyor.	No one forgets the death six years ago of blogger Maria Elizabeth Macias in the northern border state of Tamaulipas.	No one remembers the death of the blogger Maria Elizabeth Macias in Tamamipas, the northern border State.	1	forgets vs. remembers (is forget formed by negating "remember"??)		MAYBE BEST
740	-1.352	Performansı tüm ayrıntıları göz önüne seriyor, dikkat çekici ve birçoklarının artık Amerika'da var olmadığına inandığı derin bir tür ırkçılığa dayanıyor.	Her performance is graphic, gripping and grounded in a kind of deep racism that many would like to believe no longer exists in America.	His performance is based on a deep kind of racism that many no longer believe exists in the United States.	0			good example of neg-raising in EN
1014	-1.322	Ekonomik kayıpların telafisi için sektör olarak yoğun çaba sarf ettiklerini vurgulan Can Akın Çağlar, her 4 kişiden 3"ünün konut sigortası olmadığını, her 2 işletmeden birinin yangın sigortası bulunmadığını ve her 3 kişiden 2"sinin kasko sigortası olmadığını ifade ederek, şunları söyledi: "İklim değişikliği nedeniyle doğal afet riski artıyor."	Stressing the sector’s efforts to compensate for the economic loss, Çağlar said that three our of every four people did not have home insurance, one out of every two businesses did not have fire insurance, and that two out of three people did not have comprehensive insurance coverage. He added that "because of climate change, the risk of natural disasters is increasing."	Economic losses in the sector to compensate for the intense effort emphasized can Akın Çağlar, 3"fame of 4 people is not housing insurance, one of every 2 businesses does not have fire insurance, and 2"of every 3 people 2 "is not kasco insurance, said:" due to climate change natural disaster risk is increasing."	0			
2287	-1.318	Yine de Ferrell, "bunun, olumlayan eylem çeşidinde bir şey olmadığında" ve kendisinin kimlikleri dolayısıyla seçilmediğinde ısrar ediyor.	She insists, however, that "this is not some affirmative action type of thing" where Ferrell was chosen as the film's heart because of her identities.	However, Ferrell insists that "this is not chosen because of their identity" and that there is nothing in the kind of action that affirms it.	1	big errors		
329	-1.301	Kocasının dört karısından en genci olarak hiçbir alanda kendisine görev verilmemiş.	As the youngest of her husband's four wives, she has been assigned no fields to tend.	As the youngest of her husband's four wives, she has not been served in any area.	0			
2734	-1.281	"Benim için yaptığın her şeyden dolayı teşekkür ederim, elveda" diyen İtalyan Gloria Trevisan"ın ve sevgilisinin de olduğu açıklandı.	Expressing her love, she said "I don’t want to die Mom, this isn’t fair. Thank you for everything you’ve done for me, farewell".	"Thank you for everything you've done for me," said the Italian Gloria Trevisan and her lover.	1	relevant (i.e. negated) clause doesn't show up in system		
1127	-1.278	RNC kadın sözcüsü Ronna McDaniel CBS'e verdiği beyanda, "Tarihte sadece 15 valilik ve en az sayıda eyalet yasama meclisinin kontrolü ile, Vali Justice'in duyurusu baştan aşağıya lidersiz olan ve pozitif, birleştirici bir mesaj bulamayan bir partinin sadece en son reddedilişidir." dedi	"With only 15 governorships and control of the fewest state legislatures in history, Governor Justice's announcement is just the latest rejection of a party that is leaderless from top to bottom and unable to find a positive, unifying message," RNC chairwoman Ronna McDaniel said in a statement to CBS News.	"With the control of only 15 governorates and at least the number of state legislatures in history, the announcement of Governor Justice was only the last rejection of a party that had no positive, unifying message." quoth	0			
2571	-1.262	Dün Türkeş"siz MHP, MHP'siz Türkiye planlayanların yeni taktik ve oyunlarına direndik; MHP'siz hükümet, MHP'siz Meclis isteyen şerefsizlerle sonuna kadar mücadele ettik.	We have resisted the plans, the new tactics and the plots of a MHP without Turkes, and of a Turkey without the MHP. We have fought to the end against those who want a government without the MHP, a parliament without the MHP.	Yesterday türkeş"you MHP, MHP-free Turkey Planner resisted the new tactics and games; MHP-free government, MHP-Free Parliament who want to fight with the bastards to the end.	1	major problems		
2849	-1.258	Beyaz Saray, vergi mükelleflerinin organizasyonda yer alan diğer herhangi bir numara için yük almadıklarını söyledi.	The White House said taxpayers did not pick up the burden for any of the other props featured at the event.	The White House said tax payers did not pay for any other number in the organization.	0			
1492	-1.24	Sana yönelen kalplerimizi boş çevirme.	Do not refuse our hearts that turn to you.	Don't turn our hearts around for you.	0			
1580	-1.221	19'uncu kattaki odaya yerleşen ve kendisinden bir süre haber alınamayan Çilingiroğlu'nun cansız bedenini gören Kuveytli bir turistin otel yönetimine haber vermesi üzerine olay yerine ambulans ve polis ekibi çağırıldı.	Settling into her room on the nineteenth floor and with no one having received any news of her, Çilingiroğlu’s dead body was seen by a Kuwaiti tourist who informed the hotel’s administration. An ambulance and the police were called to the scene.	After a Kuwaiti tourist who settled in the room on the 19th floor and saw the lifeless body of Çilingiroglu, who could not be heard from him for a while, informed the hotel management, ambulance and police team was called to the scene.	0			
2327	-1.201	Manning'den çıkarılan DNA algoritmik şekilde analiz edilerek ve bu gen datasına sahip bir kişinin neye benzeyebileceğini kullanarak 30 portre yaratan Dewey-Hagborg, sadece DNA datasının işlenebilirliğini (yorumlanabilecek birçok yolu olduğunu ve yorumların özünden gelen determinizmi) değil aynı zamanda kimliğini sıkı, belki biraz beyinsel bir yorumla ortaya çıkardı.	By algorithmically analyzing DNA extracted from Manning and using it to create 30 portraits of what someone with that genomic data might look like, Dewey-Hagborg has created a trenchant, if somewhat cerebral, commentary on not only the malleability of DNA data - the many ways it can be interpreted, and the inherent determinism of those interpretations - but also identity.	The DNA extracted from Manning was algorithmically analyzed and created 30 portraits of what a person with this gene data would look like, Dewey-Hagborg revealed not only the workability of DNA data (determinism from the essence of the interpretation) but also the identity of itself with a strong, perhaps somewhat cerebral interpretation.	0	but it's not great		
152	-1.201	Takım kaptanı, birçok hemşerisinin sadece takıma girmeyeceği fakat bazı durumlarda madalya için yarışacağı ve finallere kalma mücadelesi vereceğinden hareketle "çok gururlu" olduğunu söylüyor.	The team captain says she's "hugely proud" of the fact so many of her compatriots have not only made the team, but, in some cases, will be challenging for medals and competing to make finals.	The team captain says he is "very proud" of the movement, because many of his fellow countrymen will not only join the team but will in some cases compete for the medal and fight to stay in the finals.	0			
2642	-1.201	The Handmaid's Tale TV dizisinin en tüyler ürpertici tarafı, tüm ayrıntıları gösteren tasvirler, ilmikli cesetler ya da oyulmuş gözler değil fakat görüntünün ne kadar gerçekçi hissettirdiği.	The most chilling aspect of the TV series The Handmaid's Tale isn't the graphic imagery, the noosed bodies and gouged eyes, but just how realistic that vision feels.	The most creepy aspect of the handmaid's Tale TV series is not the depictions of all the details, the necked bodies or the carved eyes, but how realistic the image feels.	0			
1467	-1.177	"Bu şirketler, 7 bin kişinin yapamadığı hangi programlara imza attılar da bu parayı aldılar?" diyerek tepkisini gösterdi.	"Which of the programs that these companies produced could these 7,000 not do, and the companies just took this money?" he reacted.	"These companies, 7 thousand people can not do what programs have signed up to take this money?"he reacted," he said.	0			
1835	-1.174	"Hiç pişmanlık duyduğunu göstermedi."	"She has shown no remorse."	"He never showed remorse."	0			
2192	-1.15	Bu durumda Veysel Kösele bu incitici duruma katlanmayacak, eğer emekliye sevk edilmediyse bugün veya yarın istifa edip gidecek.	In this case, Veysel Kösele would not tolerate this painful behavior, he would resign today or tomorrow, and if not, he will be retired.	In this case, Veysel kösel will not endure this hurtful situation, and if he is not retired, he will resign today or tomorrow.	1	scope of negation is a problem		
1613	-1.148	"Boşlukları öyle ayarlamalıydık ki birbirlerinin üzerine aşağı eğilmeye ihtiyaç duymadan yığılabilsinler.	"We had to arrange the spaces so that they stacked on top of each other without needing to hunch down.	"We had to adjust the gaps so that they could pile up without leaning down on each other.	0			
2451	-1.144	Ruby Tuesday'in baş hukuk müşaviri James Vitrano, bunların çoğunlukla göz korkutucu ve rahatsız edici deneyimler olduğunu, çalışan şikayetlerini takip etmenin iyi bir yolu olmadığını söyledi.	It was often an intimidating and uncomfortable experience, said James Vitrano, Ruby Tuesday's general counsel, who said there was no good way of tracking employee complaints.	James Vitrano, the chief Legal Counsel of Ruby Tuesday, said These are mostly intimidating experiences and not a good way to follow up on employee complaints.	0			
1623	-1.091	Açılır kapanır mutfaklar yeni değil.	Foldaway kitchens are nothing new.	The kitchens are not new.	0			
1469	-1.08	Yarkadaş, "AKP'nin sesi haline gelen TRT, izlenmediği için reklam da alamıyor."	Yarkadaş added "Being the mouth piece of the AKP, the TRT is unable to obtain commercials because it is not being watched."	Yarkadaş, "the AKP's voice has become TRT, can not get publicity because it is not monitored."	0			
2564	-1.076	Hayatlarında MHP'ye hayrı dokunmamış, anılarımızı paylaşmamış, ülkülerimizi anlamamış, mücadelemize katılmamış, katılsa bile hep kenarda durmuş zihniyeti kömürleşmiş, kalbi taşlamış güruh kendilerine başka meşguliyet bulmalıdır.	In their lives, the mass that didn’t contribute anything good to the MHP, that didn’t share in our memories, that didn’t understand our ideals, that didn’t participate in our struggle, and even if they participated stayed away, such mentality is extinct and should find another occupation for themselves.	MHP in their lives did not harm, did not share our memories, did not understand our ideals, did not participate in our struggle, even if it joins, the mind has always stood by the side of coal, heart has stoned gürüh should find another occupation to them.	0			
1205	-1.055	ABD Ankara Büyükelçiliği, Suriye'de savaşan hiçbir tarafa tank verilmediğini açıkladı.	The US Embassy in Ankara has announced that no party fighting in Syria has been given a tank.	The US Embassy in Ankara said there were no tanks for fighting in Syria.	0	imprecise, but not wrong		
1263	-1.054	Negatif anlamda Türkiye ile Suudi Arabistan arasındaki krizden dolayı belirsizlik görüyorum, buradan çıkıyorum' diyen Suudi yatırımcımız yok.	"In the negative sense of the meaning, we have no Saudi investor saying "I see some uncertainty because of the crisis between Turkey and Saudi Arabia, hence I am exiting the market".	We do not have a Saudi investor who says, " I see uncertainty because of the crisis between Turkey and Saudi Arabia in a negative sense."	0			
185	-1.044	Hepsi yorumlarının saygılı, düşünceli ve küfürlü olmadığını söyledi.	They all said that their comments were respectful, thoughtful and not profane.	They all said that their comments were not respectful, thoughtful and abusive.	1	two of three adjectives mis-translated		very good
1865	-1.04	Bir taraftan reform, bir taraftan belirsizliklerin azaldığı, zaten siyasi belirsizlik yok.	The reforms are on one side, the reduction in uncertainties on the other and, as it stands, we don’t have any political uncertainty.	On the one hand, reform, on the other hand, there is no political uncertainty.	0			
726	-1.026	Fakat bir tanesi dahi hiç soruşturulmamış.	But not one was ever prosecuted.	But not one of them has ever been investigated.	1			
641	-1.02	İlericilik de eskir Daha da kötüsü, bir dönemde yeni ve ileri olan duruşların da, belirli süreler sonunda eskiyeceği ve geride kalacakları da kabul edilmedi.	Progressiveness and the old, It gets even worse as it was never accepted that a period’s new and progressive would age and, over time, be left behind.	Even worse, it is not accepted that the new and forward positions will be obsolete and will remain behind at the end of certain periods.	0			
2759	-0.987	Gençlerine iş imkânı sağlayamayan İtalya'nın dramı	This is Italy’s drama: being unable to provide jobs for her youth.	Italy's drama	1			
1745	-0.967	Bugün kaskosu olup da bildirimde bulunmayan sürücüler, bu bildirim süresinin son günü olması nedeniyle itfaiye istasyonlarına gelerek rapor talebinde bulundu.	Being the last day of the notification period for those drivers with comprehensive traffic insurance who had not yet reported their damages, they flocked to fire stations to request a report on their damages.	Today, kaskos and drivers who do not report, this notification period due to the last day came to the fire stations and asked for a report.	0			
2430	-0.965	Anonimliği taahhüt etse dahi bazı çalışanlar sürece güvenmiyordu.	And even if she promised anonymity, some workers didn't trust the process.	Even if he committed anonymity, some employees didn't trust the process.	0			
1810	-0.954	Karaeminoğulları, günümüzde riski en aza indiren 'tam kapalı bel fıtığı ameliyatının' girişimsel yöntemlerle sonuç alınamayan hastaların ameliyat konusundaki çekincelerinin azalmasına da olanak sağladığını ifade ederek, bel fıtığı hastalığından 45 dakikada kurtulmanın mümkün olduğunu şöyle anlatıyor:	Pointing out that today’s risk minimizing ’fully closed herniated disc surgery’ offers an opportunity to reduce the worries of those patients who had had no success with invasive methods, Mr Karaeminogullari explained how a herniated disc can be fixed in 45 minutes:	Kareminoğulları, today, the risk to minimize the 'full-closed Hernia Surgery' can not be obtained from the Interventional methods of patients in terms of the reduction in the withdrawal of the surgery by expressing that, waist hernia disease in 45 minutes is possible to get rid of this explains:	1			
1609	-0.952	Bu amaçla Notting Hill merkezli mimari ve tasarım stüdyosu Duck & Shed'den Erfan Azadi'yi 12,5 ft'lik tavandan yararlanması ve sadece bir yapı değil aynı zamanda Joanne'in yaşayacağı bir yer yaratması için tuttu.	To this end, she employed Erfan Azadi of Notting Hill-based architecture and design studio Duck & Shed to exploit the 12.5ft ceilings and create a home that wasn't only a development but a place for Joanne to live.	For this purpose, Notting Hill-based architecture and Design Studio Duck & shed hired Erfan Azadi to take advantage of a 12.5 ft ceiling and create a place not only for a building but also for Joanne to live in.	0			
952	-0.949	10 milyon Euro çok kolay ama bizim öyle bir bütçemiz yok.	It would be easy to find one for 10 million Euro, but we don’t have such a budget.	10 million euros is very easy, but we do not have such a budget.	0			
2594	-0.935	Oyununa, pozisyonlara veya performanslara eleştiri getirebiliriz ama uzun zamandır böylesine işleyen ve arayan bir oyun seyretmedim.	We can criticize its play, positions or performances, but I have not watched such a game for a long time.	We can bring criticism to your game, positions or performances, but I haven't seen a game that works like this in a long time.	0			
66	-0.904	Çin temsilcisinin önümüzdeki sezon kadroda düşünmediği 32 yaşındaki oyuncu için çalışmalara başlayan Siyah-Beyazlı yönetim, Shanghai ekibinin kapısını çaldı.	Starting on preparations for the 32 year-old player, of whom his China representative does not consider as part of the roster for the upcoming season, Beşiktaş’ administration knocked on the Shanghai team’s door.	The Black-and-white Administration, which began to work for 32-year-old player, did not think of the Chinese representative in the squad next season, knocked on the door of the Shanghai team.	1			
861	-0.893	Bireysel olarak çocuğun tek başına yapmış olabileceği bir şey olamaz.	This couldn’t be something that the child would have done on his own.	There can be nothing that the child can do individually.	1			
442	-0.893	İnsan Hakları İzleme Örgütü Asya Direktör Yardımcısı Phelim Kine'ye göre Jokowi'nin seçim kampanyası şeffaflığını arttırmak için haber yapma sınırlamalarını kaldırma ve gelişim vaatleri gerçekleştirilmedi.	According to Phelim Kine, Deputy Asia Director of Human Rights Watch, Jokowi's election campaign pledges to lift reporting restrictions to boost transparency and development have not been realized.	According to Phelim kine, Assistant Director of Human Rights Watch Asia, Jokowski's promises to raise the transparency of the election campaign have not been made to lift and improve the reporting restrictions.	0	garbled, but meaning is preserved		
2960	-0.877	"Bu iş bitmiştir". diyerek üzerine yürümeye, vurmaya kalkışması şeklindeki eyleminin, mağdur olan imamın belli aralıklarla okuması gereken ezan ve salayı okuyamamasına neden olduğu kabul edilmek suretiyle "görevi yaptırmamak için direnme" suçunun oluştuğunun belirtildiğine yer verdi.	Saying ‘This is long finished’, trying to walk and attempting to hit him, this very action causing the victim, the imam, not to be able to read the Call to Prayer and the Sala and ‘resisting so as to prevent the performance of duties’ are included.	"This is over". he stated that the offence of "resisting not to carry out the duty" has been constituted by being accepted that the Imam who is the victim had to read the ezan and Salah at intervals.	1			
2357	-0.866	Cook idare bölgesi kayıtları; pazartesi günü, Trenton H. James Cornell-Duranleau'nun öldürülmesinde rol aldıkları iddiasıyla Wyndham Lathem (42) ve Andrew Warren (56) için kefalet olmadan birinci derece cinayet için tutuklama müzekkereleri çıkarıldığını gösteriyor.	On Monday, first-degree murder warrants without bail were issued for Wyndham Lathem, 42, and Andrew Warren, 56, for their alleged involvement in the death of Trenton H. James Cornell-Duranleau, Cook County court records show.	Cook county records; on Monday, Trenton H. James Cornell-the murder of Duranleau for allegedly Wyndham lathem (42) and Andrew Warren (56) without bail for the arrest of the first-degree murder shows.	0			
2159	-0.858	Asla markette veya internette satılan ürünlerle dişler beyazlatılmamalı.	Never use products sold in markets or over the internet to whiten teeth.	Never whiten teeth with products sold in the market or on the internet.	0			
2343	-0.851	"İnsanların bundan çıkarmasını umduğum şey, genomumuzun kim olduğumuz konusunu ve genetik datanın yoruma ne kadar açık olduğunu, ne kadar sübjektif olduğunu umursamaması." dedi 2007 yılında yaptığı video işi Taklit Anılar'ı sergilenmekte olan Dewey-Hagborg.	"What I'm hoping that people will take away from this is that our genome doesn't care about who we are, and how open genetic data is to interpretation, how subjective it is," said Dewey-Hagborg, whose 2007 video work, Spurious Memories, is also on display.	"What I hope people will get out of this is that they don't care about who our genome is and how open the genetic data is to interpretation, how subjective it is."said Dewey-Haggborg, who was on display in the memories of his video work imitated in 2007.	1	argument swapping		
1822	-0.83	Yazıda, Anayasa Mahkemesi'nin milletvekillerinin tutuklanmalarını yanlış bulan kararlarına rağmen hüküm kesinleşmeden tutuklama kararı verilmiş olmasının, mahkemenin etki altında karar aldığının açık bir kanıtı olduğu savunuldu.	In the letter it was argued that despite the Constitutional Court’s decisions on the arresting of MPs, finding that it was wrong, its issuing of an arrest warrant without any final judgment clearly shows that the court is under an external influence.	In the article, the Constitutional Court's decision to arrest mps in spite of the wrong verdict of the decision was given to arrest without certainty, the court under the influence of a clear evidence that the court has taken a decision was argued.	1			
1021	-0.813	"Ayrıca bu yaşananlar doğal afet, dolayısıyla sigortalıların panik yapmasına gerek yok, hiçbir şirket ödemiyorum demez" dedi.	"Besides, these are natural disasters, therefore there is no need for the insured to worry because no company can say ‘we are not paying for that" he said.	"This is also a natural disaster, so the insured does not have to panic, no company does not pay," he said.	0			
2673	-0.791	Kuzenim kentteyken çocuklarımızı Central Park'taki atlıkarıncaya götürdük, New York parklar departmanı tarafından işletilen atlıkarıncaların en büyüğü ve kafeine ihtiyacınız yoksa şehirde harcayabileceğiniz en iyi üç papel.	While my cousin was in town, we took our kids to the carousel in Central Park, the biggest of the carousels run by the New York parks department, and the best three bucks you can spend in the city if you don't require caffeine.	When my cousin was in town, we took our kids to the merry-go-round in Central Park, the biggest of the charms run by the New York parks Department, and the best three bucks you can spend in town if you don't need a cup of coffee.	0			
