a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source
1831	-1.216	Как уточнил собеседник агентства, посетителей в заведении не было, здание покинули несколько работников клуба.	According to the agency’s source, their were no visitors in the club. Several club employees left the building.	As the interlocutor of the agency specified, there were no visitors in the establishment, several workers of the club left the building.	0		
1477	-1.21	"Это могилы , а не пастбище.	One outraged resident of Kemerovo posted (style preserved): "This is a burial place, not a pasture.	"These are the graves, not the pasture.	0		
892	-1.178	Так, Кавано неоднократно признался в своей любви к пиву, однако заявил, что никогда не напивался до беспамятства.	So, Kavanaugh repeatedly admitted to his love for beer, but stated that he had never drunk to the point of memory lapses.	Kavanaugh, for example, has repeatedly professed his love of beer, but has said he never got drunk to the point of oblivion.	0		
1223	-1.138	Наказание грозит компаниям и чиновникам, если они вовремя не передадут данные о возводимом доме в Единую информационную систему жилищного строительства.	Companies and bureaucrats are threatened with the punishment if they do not timely submit data on a building under construction to the Uniform Housing Construction Information System.	Punishment threatens companies and officials if they do not transmit data on the house being built in time to the Unified Housing Construction Information System.	0		
620	-1.067	Согласно данным источника, глава Сербии уточнил, что, говоря о необходимости поддержки с российской стороны, он не имеет в виду военную поддержку по примеру Сирии.	According to the source, the head of Serbia clarified that when speaking of the need for Russian support, he does not mean military support as in Syria.	According to the source, the head of Serbia specified that, when speaking about the need for support from the Russian side, he does not mean military support following the example of Syria.	0		
520	-1.063	"Это ни для кого не секрет, что после побед и восстанавливаться легче, и настроение в коллективе хорошее.	“It is no great secret that after victories it is easier to recover and the mood in the team is positive.	"It is no secret that after victories and it is easier to recover, and the mood in the team is good.	0		
524	-1.057	"Есть такое, немножко соскучился, потому что действительно, неприятная ситуация вышла.	“I did indeed miss it a little, because I really was in an unpleasant situation.	"There is such a thing, a little bit bored, because really, the unpleasant situation has come out.	0		
1553	-1.054	Голодные люди выносят продовольствие из разрушенных магазинов на глазах у полиции, которая не в состоянии этому препятствовать.	Hungry people are taking food from destroyed shops right in front of the police, who are not in a position to prevent this.	Hungry people carry food out of destroyed shops in full view of the police, who are unable to prevent it.	0		
1953	-1.025	Цель - создать варварский псевдохалифат в Центральной Азии - ровно тот, что не получился у них в Ираке и Сирии.	Their goal is to create a barbarian pseudocaliphate in Central Asia - exactly the one that did not succeed in Iraq and Syria.	The goal is to create a barbaric pseudo-caliphate in Central Asia - exactly what they did not succeed in Iraq and Syria.	0		
213	-1.023	Речь шла о планах до 2024 года, но не думаю, что в такие сроки это возможно.	This was planned to happen by 2024 but I don’t think it’s possible in such a short term.	It was about plans until 2024, but I don't think that is possible in such a time frame.	0		
1847	-0.988	"Оля, ты, главное, не расстраивайся.	“Olga, don’t be upset.	"Olya, you, the main thing, don't be upset.	0		
330	-0.979	Как рассказали очевидцы, водитель внедорожника попытался "проскочить" перекресток и не уступил дорогу автомобилю такси.	According to eyewitnesses, the driver of the SUV tried to rush through the intersection and did not yield the right of way to the taxi.	According to witnesses, the driver of the SUV tried to "skip" the intersection and did not give way to a taxi car.	0		
179	-0.959	Комментируя поданный против него комиссией по ценным бумагам и биржам США судебный иск, бизнесмен заявил, что считает обвинения в мошенничестве необоснованными, и добавил, что он очень разочарован и опечален этими претензиями.	Commenting on the court case brought against him by the SEC, the businessman stated that he considers the allegations of fraud unfounded, and added that he is very disappointed and saddened by these claims.	Commenting on the lawsuit filed against him by the US Securities and Exchange Commission, the businessman said that he believes the allegations of fraud are unfounded, and added that he is very disappointed and saddened by the claims.	0		
1417	-0.945	У "Спартака" многое не в порядке в разных линиях, есть несыгранность после введения в состав молодежи.	There’s a lot about Spartak that isn’t right. They haven’t gotten their act together after the younger players came on the team.	Spartak have a lot of things wrong with different lines, there is a lack of play after the introduction to the youth structure.	0		
466	-0.839	При этом Трамп попросил не воспринимать его слова буквально и предупредил, что американские СМИ истолкуют их как некомпетентность.	Trump meanwhile asked people not to take his words literally and warned that American media will interpret his statements as incompetence.	At the same time, Trump asked not to take his words literally and warned that the US media would interpret them as incompetence.	0		
429	-0.833	- В первом тайме у нас не все получалось, но во втором начали появляться моменты.	"In the first half things did not go our way, but in the second half we began to threaten.	- We didn't get everything right in the first half, but in the second we started to have moments.	0		
934	-0.821	Медики островного региона призывают жителей быть активнее и не игнорировать рекомендации врачей.	Doctors in the island region are urging residents to be more proactive and not to ignore the recommendations of doctors.	Medics in the island region are urging residents to be more active and not to ignore doctors "recommendations.	0		
462	-0.809	Трамп отметил, что команда Барака Обамы настолько запустила отношения с КНДР, что даже не могла дозвониться до руководства страны - там попросту не снимали трубку.	Trump notes that Barack Obama’s team had so neglected relations with North Korea that it couldn’t even reach the country’s leadership by phone — the other side basically didn’t pick up the receiver.	Trump noted that Barack Obama's team had so launched relations with North Korea that they couldn't even call the country's leaders - they simply didn't take the phone off.	1		
902	-0.805	На самом деле, [клоны] выглядят, как она, но клонировать душу невозможно", - подчеркнула 76-летняя певица.	In fact, [the clones] look like her, but cloning the soul is impossible," emphasized the 76-year-old singer.	In fact, [the clones] look like her, but you can't clone a soul, "the 76-year-old singer stressed.	0		
1464	-0.795	Вместе с тем, поскольку референдум носил лишь консультативный характер, возможно, власти в Скопье решат не отказываться от переименования.	However, since the referendum was only advisory in nature, the authorities in Skopje may decide not to reject the renaming.	However, since the referendum was only advisory, it is possible that the authorities in Skopje will decide not to abandon the name change.	0		
189	-0.795	"Реал" на своем поле не смог обыграть "Атлетико"	Real could not beat Atletico in the Bernabeu.	"Real" on the pitch could not beat "Atletico"	0		
1399	-0.774	Мы оказались в такой ситуации на самой необгонной трассе сезона, я ничего не мог сделать, и это было очень больно, если честно.	We ended up in such a situation on the track which is the hardest of all to overtake on, I could not do anything, and it was very difficult to be honest.	We found ourselves in this situation on the most unraced track of the season, there was nothing I could do and it was very painful to be honest.	1		
115	-0.746	Нам удалось сегодня хорошо провести третий период, несмотря на то, что мы пропустили ранний гол в этом отрезке и было понятно, что будет непросто в дальнейшем.	We had a good third period today, despite the fact that we let in an early goal in the period and it was clear that it would not be easy.	We managed to have a good third period today, even though we missed an early goal in that stretch and it was clear that it would not be easy in the future.	0		
1482	-0.731	Слова давлеть не существует.	The word 'davlet' does not exist.	The word pressure does not exist.	0		
550	-0.697	Данный договор должен решить не только многолетний спор о названии страны, но и открыть Скопье путь в НАТО и ЕС.	This agreement should solve not only the many-year dispute about the name of the country, but also open a path into NATO and the EU for Skopje.	This treaty should resolve not only the long-standing name dispute, but also open Skopje's path to NATO and the EU.	0		
1452	-0.638	При падении он получил серьезные травмы внутренних органов, и врачи не смогли его спасти.	Upon landing he suffered serious trauma to his internal organs, and doctors were unable to save him.	He suffered serious internal injuries in the fall and doctors were unable to save him.	0		
1299	-0.635	Они очень спешат при завершении атак, поэтому не получается.	They are hurrying in attack and its not quite working out for them.	They are in a great hurry to complete attacks, so it doesn't work.	0		
111	-0.632	В последнее время мы хорошо играли в большинстве, но никак не могли забить.	Recently, we have played well during power plays, but have not been able to score.	Recently, we played well in the majority, but we couldn't score in any way.	0		
396	-0.627	Даже с разрывом в 2 мяча "Ротор" не смог удержать победу в своих руках.	Even though they were ahead by 2 goals, Rotor was not able to bring the game to a victorious conclusion.	Even with a 2-goal gap, Rotor could not keep the victory in their hands.	0		
831	-0.583	Они решили обратиться в ЦИК с ходатайством о регистрации единой инициативной группы и задать россиянам вопрос: "Вы за то, чтобы установленный законодательством о пенсионном обеспечении по состоянию на 1 июля 2018 г. возраст, по достижении которого граждане России получают право на назначение пенсии по старости, не повышался?"	They decided to apply to the Central Electoral Commission to register a single initiative group and ask the public the question: "Are you in favor of the pension age, as established by legislation as of July 1, 2018, at which Russian citizens gain the right to an old-age pension, not being increased?"	They decided to apply to the CEC with a request to register a single initiative group and ask the Russians the question: "Are you in favor of not raising the age set by the legislation on pension provision as of July 1, 2018, at which Russian citizens are entitled to old-age pensions?"	0		
1931	-0.52	В связи с этим в некоторых районах острова до сих пор отсутствует транспортное сообщение, электроснабжение и связь.	Due to this, some island’s regions still remain without transport connection, electricity and telecommunication.	As a result, transportation, electricity and communications are still lacking in some areas of the island.	0		
1881	-0.477	По словам председателя Общественного совета при УФССП России по РК Валерия Богданова, практически за каждым жителем региона числятся долги за коммунальные платежи, штрафы ГИБДД, банковские кредиты, ссуды, и никто не застрахован от непредвиденных ситуаций.	According to Valery Bogdanov, chairman of the Public Council at the Directorate of the Federal Marshals Service of Russia for the Republic of Kalmykia, practically every citizen in the region owes back debt on utility bills, traffic police fines, bank loans, and other forms of credit, and no one is immune from unforeseen situations.	According to Valery Bogdanov, Chairman of the Public Council under the UFSSP of Russia for the Republic of Kazakhstan, virtually every resident of the region has debts for utility payments, traffic police fines, bank loans, loans, and no one is insured against unforeseen situations.	0		
873	-0.475	- На 52-й минуте Турбин не решился удалить защитника гостей Олега Иванова, который нарушил правила в борьбе с Крыховяком, а когда судья показал ему желтую карточку, демонстративно поаплодировал ему.	"In the 52nd minute, Turbin did not dare to send off defender Oleg Ivanov, who commited a foul in a duel with Krychowiak, and when the referee showed him a yellow card, he defiantly applauded him.	- In the 52nd minute, Turbin did not dare to remove the defender of the guests, Oleg Ivanov, who broke the rules in the fight with Krykhovyak, and when the referee showed him a yellow card, demonstratively applauded him.	0		
748	-0.451	29 сентября Telegram-канал "Незыгарь" опубликовал документы, из которых следовало, что Агибалову, ушедшему с должности вице-губернатора, выплатили выходное пособие в размере 23 окладов, а через два дня после этого он снова получил аналогичную должность без приставки "врио".	On September 29, the Nezygar Telegram channel published documents showing that Agibalov was payed 23 monthly salaries as he left the vice governor position, and two days later he received the same position without the “acting as” prefix.	On September 29, Telegram-channel "Nezygar" published documents, from which it appeared that Agibalov, who resigned from the post of vice-governor, was paid severance pay in the amount of 23 salaries, and two days after that he again received a similar post without the prefix "acting".	0		
1181	-0.451	"Тогда надо на собственном шоу предложить выступать папе, а не на шоу, которое делается за деньги 1 Канала".	"Then you have to offer dad to perform on your own show, and not on a show that is made with the money of Channel 1".	"Then you have to ask your dad to perform on your own show, not on a show that is made for Channel 1 money".	0		
996	-0.419	Посмотрим, удастся ли Карпину продлить беспроигрышную серию таким принципиальным для себя матчем.	Let's see whether Karpin will be able to extend his team's winning streak by winning such a key match that they cannot afford to lose.	Let's see if Karpin can extend the win-win streak with such a crucial match for himself.	0		
501	-0.356	При этом, по мнению Ницой, украинцы не применяют агрессивных методов в этом процессе: действия властей, запрещающих использование русского языка, по ее мнению, являются лишь "расширением границ для украинской речи на законодательном уровне".	In this regard, in Nitsoi's opinion, Ukrainians are not using aggressive methods in this process: actions by authorities to prohibit the use of the Russian language, in her opinion, merely "expand the boundaries for Ukrainian speech at a legal level."	At the same time, according to Nitsoy, Ukrainians do not use aggressive methods in this process: the actions of the authorities prohibiting the use of the Russian language, in her opinion, are only "an extension of the boundaries for Ukrainian speech at the legislative level".	0		
1183	-0.356	И я не понимаю, почему безголосый папа должен вызывать у меня понимания больше, чем любой другой участник с реальными вокальными данными.	And I don’t understand why the voiceless dad should evoke a greater appreciation than any other participant with real vocal skills.	And I don't understand why a voiceless dad should arouse my understanding more than any other participant with real vocal data.	0		
980	-0.331	Я не могу сказать, что являюсь болельщиком, так как мое сердце принадлежит "Челси", однако симпатии к "Спартаку" я имею и еще раз хочу извиниться за принятое решение", - приводит слова Терри сайт болельщиков "Челси".	I can’t say that I’m a fan because my heart belongs to Chelsea, but I do like Spartak and want to apologize for my decision", said Terry, as reported by the Chelsea fans website.	I can't say that I am a fan, as my heart belongs to Chelsea, but I have sympathy for Spartak and once again I want to apologize for the decision, "the Chelsea fans" website quotes Terry as saying.	0		
1415	-0.3	Сегодня у "Спартака" нет игры, так что эту ситуацию вообще не требовалось раздувать.	Spartak doesn’t have a game today, so there’s no reason to blow this whole thing out of proportion.	Today, Spartak do not have a game, so this situation did not need to be hyped at all.	0		
1418	-0.299	Отношения внутри команды, судя по всему, не добавляют оптимизма перед этим матчем", - уверен Тарпищев.	“Judging from all of this,” Tarpishev is sure that “this isn’t boosting optimism before the game.”	Relations within the team, apparently, do not add to the optimism before this match, "Tarpischev is sure.	0		
1836	-0.297	Певица и телеведущая Ольга Бузова не может пережить "предательство" участника шоу "Замуж за Бузову" Евгения Назарова, который предпочел ей деньги и ушел с проекта.	Singer and TV host Olga Buzova can’t overcome the “treachery” of a participant of the “Marry Buzova” show who preferred to take money and left the project.	Singer and TV presenter Olga Buzova cannot survive the "betrayal" of the participant of the show "Married to Buzova", Evgeny Nazarov, who preferred money to her and left the project.	0		
415	-0.292	По словам Дроздова, это обусловлено тем, что жителей страны не приучают к культуре чтения с детства.	According to Drozdov, this is because the people don’t get used to the reading culture from their childhood.	According to Drozdov, this is due to the fact that residents of the country are not taught the culture of reading from childhood.	0		
1519	-0.256	"Моя попытка складывалась неплохо, но затем впереди оказался кто-то из гонщиков "Мерседес".	"I wasn't doing badly, but then one of the Mercedes drivers got ahead.	"My attempt was going well, but then someone from the Mercedes drivers was in front.	0		
1357	-0.243	"На позициях ракетчики получат целеуказания и произведут электронные пуски из ракетных комплексов "Бал" и "Бастион" по отряду кораблей условного противника", - рассказал Мартов.	“Not he spot, the missile specialists will receive instructions and launch missiles from the Bal and Bastion missile complexes at the supposed enemy’s ships,” Martov told.	"At the positions, the rocket launchers will receive target instructions and carry out electronic launches from the" Bal "and" Bastion "missile systems against a detachment of ships of the conditional enemy", Martov said.	0	typo in ref?	
1943	-0.23	Не прошло и месяца, как Америка и союзники по НАТО начали там военную операцию "Несокрушимая свобода".	Not a month passed before America and its NATO allies began Operation Enduring Freedom there.	Less than a month later, America and NATO allies launched military operation Enduring Freedom there.	0	temporal done connectly	
759	-0.213	"Если мы начнем этот разговор в нашей мусульманской республике, нас просто с вами не поймут, мягко говоря", - заявил профессор.	"If we start this conversation in our Muslim republic, they will simply not understand us, to put it mildly", - said the professor.	"If we start this conversation in our Muslim republic, we will simply not be understood with you, to put it mildly", the professor said.	0		
306	-0.212	Кстати, выделение пенициллина из плесневых грибов было не первым открытием Флеминга.	By the way, the isolation of penicillin from mold fungi was not the first discovery of Fleming.	By the way, the release of penicillin from mold fungi was not Fleming's first discovery.	0		
55	-0.186	Однако до сих пор к этим работам никто не приступил.	However, so far no one has begun this work.	To date, however, no one has started these works.	0		
1558	-0.147	Второй матч подряд добиваемся результата на характере, что не может не радовать!	For the second match in a row, we get the result on sheer will, which doesn’t fail to make us happy!	For the second match in a row we achieve a result on character, which is a joy!	0		
1998	-0.144	Также сербский лидер планировал попросить поддержки Москвы в сложившейся ситуации, уточнив, что о военной помощи в данном случае речи не идет.	Also, the Serbian leader was planning to ask Moscow for support in the situation, noting that it doesn’t mean military support.	The Serbian leader also planned to ask for Moscow's support in the current situation, specifying that military assistance in this case is not in question.	0		
28	-0.124	Урок истории очевиден: если вы превратите ЕС из сообщества в тюрьму, то стремление покинуть ее не уменьшится, а будет лишь расти, и мы не будем единственным узником, который захочет бежать из плена", - заявил министр.	The lesson from history is clear: if you turn the EU club into a prison, the desire to get out won't diminish, it will grow. We won’t be the only prisoner willing to escape the trap,” claimed the minister.	The lesson of history is clear: if you turn the EU from a community into a prison, the desire to leave it will not diminish, but will only grow, and we will not be the only prisoner who will want to escape from captivity, "declared the Minister.	0		
595	-0.1	Места в заявке королевского клуба не нашлось валлийцу Гарету Бэйлу и испанцу Серхио Рамосу.	Places in the squad of the royal club were not found for Welshman Gareth Bale and Spaniard Sergio Ramos.	There was no room for Welshman Gareth Bale and Spaniard Sergio Ramos in the royal club's bid.	0		
660	-0.088	Дамаск надеется, что в сирийской провинции Идлиб не придется применять военную силу, заявил глава МИД Сирийской Арабской Республики Валид Муаллем.	Damask hopes that there will be no need to apply military force in the Syrian Odlib province, claimed the Syrian minister of foreign affairs Valid Muallem.	Damascus hopes that military force will not have to be used in the Syrian province of Idlib, said Syrian Foreign Minister Walid Muallem.	0		
1775	-0.086	"Я не уйду, пока я не заберу вас, теперь я знаю, кто вы", - сообщила Лохан.	"I will not leave until I take you away, now I know who you are", - said Lohan.	"I won't leave until I pick you up, now I know who you are", Lohan reported.	0		
327	-0.08	"Я ничего не бросал", - подчеркнул президент.	"I didn't drop anything," stressed the president.	"I didn't throw anything", the president emphasized.	1		
180	-0.08	"Честность - это самая важная ценность в моей жизни, и факты докажут, что я никоим образом это не нарушил", сказал бизнесмен в интервью CNBC.	“Honesty is the most important value in my life, and the facts will prove that I didn’t violate it at all,” said the businessman in an interview with CNBC.	"Honesty is the most important value in my life, and the facts will prove that I did not violate it in any way", the businessman said in an interview with CNBC.	0		
1644	-0.08	Мы не можем продолжать в таком духе.	We cannot go on like this.	We cannot continue in this spirit.	0		
1388	-0.08	Я ничего не мог сделать, и это было очень больно	There was nothing I could do and it was really difficult	I couldn't do anything and it was very painful	0		
1848	-0.07	Твой человек не будет на всю страну говорить громких слов и потом просто их не выполнять", - поддержала Бузову @arina_prostyle.	You man won’t be making big promises infant of the whole country without fulfilling them,” @arina_prostyle supported the singer.	Your person will not speak loud words for the whole country and then simply do not carry them out, "- supported Buzova @ arina _ prostyle.	0		
47	-0.07	Тот распорядился раздать эти грибы членам разделенных во время корейской войны семей, которые еще не воссоединились со своими близкими из КНДР.	He ordered that these mushrooms be given to members of families split up during the Korean War who had not yet reunited with their relatives from North Korea.	He ordered that the mushrooms be distributed to members of separated families during the Korean War who had not yet been reunited with their loved ones from the DPRK.	0		
1591	-0.054	На работу объектов промышленности и жизнеобеспечения подземные толчки не повлияли, отмечается в сообщении.	The tremors have not affected the operation of industrial facilities and critical infrastructure, the report says.	The operation of industrial and life-support facilities was not affected by the tremors, the report notes.	0		
865	-0.052	От ворот восемь метров, но Турбин не ставит пенальти.	Just eight meters from the goal line, but Turbin did not call a penalty".	Eight yards from goal, but Turbin doesn't put a penalty away.	1		
642	-0.052	"Я не исключаю, что нынешняя сессия в каком-то смысле может быть поворотной", - допустил Косачев, пояснив, что "слишком много примеров того, как с подключением России удается двигаться вперед в международных делах".	"I do not exclude that the current session in some sense may be pivotal," allowed Kosachev, explaining that "there are too many examples of how with the inclusion of Russia it is possible to move forward in international affairs".	"I do not rule out that the current session may in some sense be a turning point", Kosachev admitted, explaining that "there are too many examples of how, with Russia's involvement, we manage to move forward in international affairs".	0		
1643	-0.032	Нам не удалось быть столь эффективными, как ожидалось, и мы не могли хорошо защищаться.	"We have not been as effective as we hoped, and we have not defend well.	We didn't manage to be as effective as expected and we couldn't defend well.	0		
1858	0.026	Не использовали несколько хороших моментов.	Didn't take advantage of some good chances.	Did not take advantage of a few good moments.	0		
1985	0.038	Нестандартная работенка, не правда ли?" - добавляет Николас Холт.	An unusual job, isn't it?" - adds Nicholas Holt.	Non-standard work, isn't it? "adds Nicholas Holt.	0		
910	0.049	Вопреки мировой практике американское министерство внутренних дел выполняет не полицейские, а гражданские функции, в том числе реализует политику в области природных ресурсов.	Unlike other similarly named government agencies around the world, the department conducts not police functions, but civilian ones, and this includes carrying out policy in the area of natural resources.	Contrary to international practice, the US Department of the Interior performs civilian rather than police functions, including the implementation of natural resources policy.	0		
1391	0.058	"Честно говоря, не очень хочу говорить о том, что в голове.	"To be honest, I don't really want to say what is on my mind.	To be honest, I don't really want to talk about what's in my head.	0		
317	0.085	А еще через несколько лет статую Александра Флеминга в полный рост нам довелось наблюдать в самом неожиданном для этого месте в столице Испании.	And a few years later, we had a chance to see Alexander Fleming's full size statue in the most unexpected place for this in the capital of Spain.	And a few years later, we saw the full-length statue of Alexander Fleming in the most unexpected place in Spain's capital.	0		
862	0.134	Меня удивляет, что напоров во встрече пятого тура "Спартак" - "Динамо", ни сам Турбин, ни руководители ДСИ не сделали серьезных выводов о его низкой квалификации.	It surprises me that with the mess in the fifth round game between Spartak and Dinamo, neither Turbin himself, nor the heads of Dinamo drew any serious conclusions about his lack of abilities.	I am surprised that the pressure in the meeting of the fifth round "Spartak" - "Dynamo", neither Turbin himself nor the heads of the DSI have drawn serious conclusions about his low qualification.	0		
1005	0.135	До сих пор неизвестна судьба еще десятков жителей, которые готовились отмечать национальный праздник на одной из набережных города Палу, который наиболее подвергся разрушению после стихии.	At this time, the fate of dozens of residents, who were preparing to celebrate a national holiday in the coastal city of Palu, the city most damaged by the elements, remains unknown.	The fate of dozens more residents who were preparing to celebrate the national holiday on one of the embankments of the city of Palu, which was most devastated after the disaster, is still unknown.	0		
1595	0.137	Разрушений зданий, погибших и пострадавших не было.	There were no injured persons or damage.	There was no destruction of buildings, no deaths and no injuries.	1		
883	0.144	Значит, арбитр не дает второй пенальти в противоположные ворота.	So the referee did not give a second penalty in the opposition goal.	It means that the referee does not give a second penalty in the opposite goal.	0		
1231	0.158	По словам потерпевшего, неизвестный подошел к нему и завел разговор, однако затем внезапно выхватил нож и потребовал отдать ему деньги и мобильный телефон.	According to the victim, the unknown person approached him and initiated a conversation, but then suddenly grabbed a knife and demanded he give him money and his mobile phone.	According to the victim, an unknown person approached him and started a conversation, but then suddenly pulled out a knife and demanded to give him money and a mobile phone.	0		
261	0.16	Этот фильм мы начали готовить 14 лет назад, это была очень долгая работа, и, что особенно важно для меня, что мы не хотели останавливаться.	We started making this film 14 years ago, it was really a lot of work, and what was especially important for me is that we did not want to stop.	We started preparing this film 14 years ago, it was a very long work, and, most importantly for me, we didn't want to stop.	0		
1400	0.16	Не хочу больше об этом говорить", - приводит слова Сироткина РИА "Новости".	I do not want to talk about it anymore", said Sirotkin to RIA Novosti.	I don't want to talk about it any more, "RIA Novosti quotes Sirotkin as saying.	0		
878	0.164	- Олег Иванов сказал после матча о двойных стандартах судейства, что каким-то командам ставят пенальти за такие нарушения, как в эпизоде с Идову, а каким-то нет.	"Oleg Ivanov talked after the match about refereeing double standards in that some teams are awarded a penalty for such violations, as in the incident with Idowu, and others are not.	- Oleg Ivanov said after the match about double standards of refereeing that some teams are given a penalty for such violations, as in the episode with Idowu, and some are not.	0		
1851	0.196	Ранее Назаров объяснил свое решение взять 2 млн рублей и отказаться от Бузовой тем, что у певицы отсутствуют симпатии к нему.	Earlier, Nazarov explained his decision to take 2 million roubles and leave Buzova with the fact that the singer doesn’t have affection to him.	Earlier, Nazarov explained his decision to take 2 million roubles and refuse Buzova by the fact that the singer does not have sympathy for him.	0		
923	0.196	Акцент Национального кинофестиваля дебютов "Движение" сделан на молодом кино, но не в плане возраста постановщиков, а на состоянии их духа, желании и способности рисковать.	The "Dvizhenie" National Film Festival of Debut Films focuses on youth cinema. However, this is not to be understood as a reference to the age of the producers, but to their inner spiritual state and their desire and willingness to take risks.	The emphasis of the National Film Festival of Debuts "Movement" is on young cinema, but not in terms of the age of the producers, but on the state of their spirit, willingness and ability to take risks.	0		
1275	0.196	По словам ее пресс-секретаря, такое предложение следует рассматривать как запоздалое и несерьезное.	According to her press secretary, such a proposal should be regarded as belated and not serious.	According to her spokesman, such a proposal should be seen as belated and not serious.	0		
5	0.196	Он также не исключил, что реальные цифры призванных в армию украинцев могут быть увеличены в случае необходимости.	Also, he doesn’t exclude that the real numbers of conscripts in the Ukrainian army can be raised is necessary.	He also did not rule out that the real figures of Ukrainians conscripted into the army could be increased if necessary.	0		
1679	0.207	Также участники мероприятия заявили, что спасение мигрантов в Средиземном море должно перестать считаться правонарушением.	Also, the participants of the event claimed that saving the migrants in the Mediterranean shouldn’t be considered a crime.	The participants of the event also said that rescuing migrants in the Mediterranean Sea should cease to be considered an offence.	0		
1817	0.228	Какой-либо административно-финансовой подотчетности Московской патриархии не существует.	"It is in no way administratively or financially accountable to the Moscow Patriarchate.	There is no administrative-financial accountability of the Moscow Patriarchate.	0		
1777	0.233	Сам момент не попал на видео, но актриса сообщила о случившемся своим подписчикам после инцидента.	The actual moment was not recorded on video, but the actress reported the incident to her subscribers after the incident.	The moment itself was not caught on video, but the actress reported the incident to her followers after the incident.	0		
1984	0.238	"Нечасто бывает, что придешь домой, тебя спрашивают: "Ну, как поработал?", а ты отвечаешь: Представляешь, я забрасывал апельсинами обнаженного мужчину.	"It is not often that you come home, and you are asked: "So, how was work?", and you answer: Can you imagine, I threw oranges at a naked man.	"It is not often that you come home and you are asked", Well, how did you work? "and you answer", Imagine, I threw oranges at a naked man.	0		
1427	0.247	Альтернативная энергетика выработать такие объемы пока не способна.	Alternative sources can’t produce this amount of energy yet.	The alternative energy industry is not yet capable of generating such volumes.	0		
685	0.254	При этом точных данных о его размерах пока нет.	However there is no precise information about its length.	At the same time, exact data on its size are not yet available.	0		
1283	0.255	Причем, знания слушатели получают не только теоретические - в программе клуба также проведение практических сборов.	Moreover, students will be able to gain not only theoretical knowledge. The club's program also focuses on practical training.	Moreover, the students receive knowledge not only theoretical - the club's program also includes practical training sessions.	0		
1079	0.26	Ганзя посетовала на то, что парламентариям не компенсируют представительские расходы.	Ganza complained that parliamentarians are not compensated for expenses.	Ganzia complained that parliamentarians are not compensated for their hospitality expenses.	0		
