a_line_number	b_z_score	c_source_sent	d_reference_sent	e_system_output	f_neg_error	g_notes	h_source_cue
269	-0.606	Seine Aufgabe in diesem Fall: Er soll - in dieser Reihenfolge und in diesem Beispiel - die Begriffe "Würfel", "Fest" und "Fenster" beschreiben - und zwar so, dass sein eigenes Team die korrekte Reihenfolge erkennt und das gegnerische Team möglichst nicht; denn das gewinnt die Partie, wenn es ihm zweimal gelingt, den Code zu knacken.	The task in this case: They should - in this order and in this example - describe the terms "cube", "solid" and "window" - in such a way that his own team recognizes the correct order and the opposing team does not, because the team that cracks the code twice wins the game.	His task in this case: He should - in this order and in this example - describe the terms "dice," "fixed" and "window" - in such a way that his own team recognizes the correct order and the opposing team, if possible, does not; because that wins the game if he manages to crack the code twice.	0	ellipsis in source	nicht-V (ellipsis)
18	-0.543	Er habe keinen Druck aufbauen wollen, aber er kenne es aus dem Fußball so, dass wenn "man eine Mannschaft verlässt oder einen Verein wechselt, dass man darüber mit seinem Trainer spricht und ich es schade finde, dass dieses Gespräch bisher nicht zustande gekommen ist".	He did not want to create any pressure, but he knows that in football ‘if you leave a team or change club, you talk to your trainer and I think it is sad that this discussion did not happen before’.	He said he didn't want to build pressure, but he knows from football that when "you leave a team or change a club, you talk about it with your coach and I think it's a shame that that conversation hasn't come to fruition."	0		kein; nicht-V
278	-0.535	Insgesamt aber ist "Decrypto" nicht ganz so schlüssig wie Vorgänger und Genre-Primus "Codenames", das ebenfalls eine Agententhematik auf ein Spiel weniger Worte stülpt, dafür aber viel besser in kleinen Gruppen zu spielen ist.	Overall, however, "Decrypto" is not quite as conclusive as its predecessor and genre-primus "Codenames", which also makes use of the spy theme for a game with few words, but it’s much easier to play in small groups.	All in all, however, "Decrypto" is not quite as conclusive as predecessor and genre prime "Codenames," which also applies an agent theme to a game of fewer words, but is much better to play in small groups.	0		nicht-ADJ
1616	-0.513	Die Alarmanlage überraschte sie aber offenbar dermaßen, dass sie ohne Beute die Flucht ergriffen.	Yet apparently the alarm surprised them so much that they fled without loot.	However, the alarm system apparently surprised them so much that they fled without prey.	0		ohne
1163	-0.509	Trotz Überzahl gelang es Albersloh nicht mehr, den letzten Concordia-Treffer (80.) erneut zu kontern.	Despite their numerical advantage, Albersloh was unable to counter the last Concordia goal (minute 80).	Despite being outnumbered, Albersloh was not able to counter the last Concordia hit (80th) again.	0	ref and system use different forms	nicht mehr
1084	-0.502	Er und seine Kollegen seien aber "nicht gekommen, um zu provozieren", versicherte der Polizist.	However, he and his colleagues did “not come here to provoke,” the policeman ensured us.	But he and his colleagues "did not come to provoke," the police officer said.	0		nicht-V
443	-0.482	Er sah in mir eine emanzipierte Frau, die ich in Wahrheit nie war, auch wenn ich auf der Bühne manchmal frech und mutig erschien.	He saw in me an emancipated woman, which actually I never was, even though I sometimes appeared cheeky and courageous on stage.	He saw me as an emancipated woman who, in truth, I never was, even though I sometimes appeared cheeky and brave on stage.	0		nie
273	-0.465	Möglichst mysteriös, aber nicht zu abgedreht sollten die Umschreibungen also sein, sonst macht man es seinem Team unnötig schwer.	So the term should be as mysterious as possible, but not too crazy. Otherwise, you make it unnecessarily difficult for your team.	So the paraphrases should be as mysterious as possible, but not too crazy, otherwise you make it unnecessarily difficult for your team.	0		nicht-ADJ; un-
272	-0.465	Man kennt zwar nicht die Begriffe der Gegenseite - kann sich diese aber mit jedem Hinweis, den der Verschlüsseler dort gibt, besser zusammenreimen.	It is true that one does not know the terms of the other side - but with every clue the encryptor gives, you’re closer to finding them out.	You don't know the terms of the other side - but you can rhyme them better with every hint the encrypter gives there.	0		nicht-V
265	-0.465	Denn erraten werden sollen hier nicht die Begriffe, sondern Codes.	So the terms are not guessed, the codes are.	For it is not the terms that are to be guessed here, but codes.	0		nicht-NP
429	-0.44	Über ihre Ehe zu Hans von Borsody: Heide Keller fühlte sich nie gut genug für ihren Ehemann	About her marriage to Hans von Borsody: Heide Keller did not feel she was enough for her husband	On her marriage to Hans von Borsody: Heide Keller never felt good enough for her husband	0		nie
976	-0.425	Es bewirkte - nichts.	That lead to nothing.	It made a difference - nothing.	0		nichts
490	-0.425	Sie hatten ja - wie in Steinhagen, wie gegen Hüllhorst - über weite Phasen nicht schlecht gespielt, die Sendener.	Over long periods, they had - as in Steinhagen, as against Hüllhorst - not played badly.	They had - as in Steinhagen, as against Hüllhorst - not played badly for long periods, the broadcasters.	0		nicht-ADV; nicht-V
617	-0.411	Mönchengladbach (dpa) - Manager Max Eberl vom Fußball-Bundesligisten Borussia Mönchengladbach sieht keine Eile bei einer möglichen Vertragsverlängerung mit Trainer Dieter Hecking.	Mönchengladbach (dpa) - Manager Max Eberl from Bundesliga soccer team Borussia Mönchengladbach does not see any rush for a possible contract extension with trainer Dieter Hecking.	Moenchengladbach (AP) - Manager Max Eberl of Bundesliga side Borussia Moenchengladbach sees no hurry in a possible contract extension with coach Dieter Hecking.	0	ref and system use different forms	kein
438	-0.399	"Ob ihm das so gut gefallen hat, weiß ich nicht".	I don’t know if he was happy with this.	I don't know if he liked it that much. '	0		nicht-V
1077	-0.399	Angehörige der spanischen Polizei und der Guardia Civil empfinden es als ungerecht, dass katalanischen und baskischen Polizeibeamten deutlich mehr verdienen als sie.	Members of the Spanish police and the Guardia Civil thought it was unfair that Catalan and Basque police officers were earning much more than they were.	Members of the Spanish police and the Guardia Civil feel it is unfair that Catalan and Basque police officers earn significantly more than they do.	0		un-
1349	-0.396	Er trat an die Stelle von Ex-Präsident Inácio Lula da Silva, der wegen Korruption zu zwölf Jahren Haft verurteilt worden war und deshalb nicht kandidieren darf.	He took the position of former president Inácio Lula da Silva, who had been sentenced to twelve years in prison due to corruption and therefore cannot stand for the presidency.	He took the place of former President Inácio Lula da Silva, who was sentenced to 12 years in prison for corruption and is therefore not allowed to stand.	0		nicht-V
726	-0.394	Ein anderer herbeigerufener Notarzt versuchte dies - allerdings ohne Erfolg.	Another emergency responder tried to do this, but without success.	Another emergency doctor called in tried - but to no avail.	0	ref and system use different forms	ohne
1534	-0.383	Gladbach verspielt zweimalige Führung - Schalke ohne Embolo mit erstem Sieg	Gladbach forfeits double lead - Schalke without Embolo receives first victory	Gladbach squander two-goal lead - Schalke without Embolo with first win	0		ohne
618	-0.368	Wir haben bislang noch nicht einmal über einen Vertrag gesprochen.	We have not even talked about a contract up to now.	We haven't even talked about a treaty yet.	0		noch nicht
1446	-0.359	"Ohne das Video hätten wir wohl nicht nach Nigeria zurückkehren können", sagte Efe Onyeka, der das Video aufgenommen hatte, der Nachrichtenagentur AFP.	Without the video, we likely would not have been able to return to Nigeria, said Efe Onyeka, who made the video, according to the news agency AFP.	"Without the video, we probably wouldn't have been able to return to Nigeria," Efe Onyeka, who recorded the video, told the AFP news agency.	0		ohne, nicht-V
1130	-0.341	Der Gegner war einfach griffiger, wir haben ihn so gut wie nie vor Probleme gestellt". Entsprechend dünn liest sich die Liste der Hoetmarer Einschussmöglichkeiten.	The opponent was just easier to grip, we have almost never faced problems." Accordingly thin reads the list of Hoetmarer bullet options.	The opponent was simply more handy, we hardly ever presented him with any problems. "Accordingly, the list of Hoetmar shooting possibilities reads thin.	1	contradiction; here getting the verb wrong totally changes the meaning // ALSO THE REFERENCE TRANSLATION IS WRONG	nie
1011	-0.341	Die Geselligkeit ist es, die die Besucher dann lange bis in die Abendstunden, auch ohne Bühnenprogramm das es beim Herbstfest nicht gibt, verweilen ließ.	It is this friendly atmosphere that makes visitors stay late into the evening hours even in the absence of stage events, which are not part of the fall festival.	It is the conviviality that allowed the visitors to linger long into the evening hours, even without a stage program that does not exist at the autumn festival.	0	ref and system use different forms ("absence of x" vs. "without x")	ohne, nicht-V
528	-0.33	In dem Vergleich, der noch von einem Gericht bestätigt werden muss, räumten weder Musk noch Tesla Fehlverhalten ein.	In the settlement, which still has to be confirmed by a court, Musk nor Tesla admitted wrongdoing.	In the settlement, which has yet to be confirmed by a court, neither Musk nor Tesla admitted wrongdoing.	0		weder ... noch
1376	-0.324	Von Lampenfieber dabei keine Spur.	There is no hint of stage fright in the process.	There was no sign of stage fright.	0		kein
259	-0.324	So ist gewährleistet, dass die Gegenseite auch aus Versehen nichts lesen kann.	This ensures the other side cannot read anything unintentionally.	This ensures that the other side cannot read anything, even by mistake.	0		nicht-V
442	-0.234	Sie habe stets das Gefühl gehabt, "nicht gut genug für ihn zu sein.	She always had the feeling of ‘not being enough for him.	She had always felt she was "not good enough for him.	0		nicht-ADJ
1096	-0.188	Für den Trainer war der teuer eingekaufte Star auch ohne eigenes Tor der entscheidende Mann in der wichtigen Partie gegen den Verfolger.	For the coach, the expensively purchased star without scoring himself was the decisive man of the match in the important game against the pursuers.	For the coach, even without an own goal, the expensively purchased star was the decisive man in the important match against the chasing pack.	1	error in interpretation/translation of the object noun causes contradiction	ohne
268	-0.183	Erraten werden sollen in "Decrypto" nicht die Begriffe hinter der Geheimfolie, sondern ihre Verschlüsselungscodes.	In "Decrypto," it is not the words behind the secret film that should be guessed, but their encryption codes.	What is to be guessed in "Decrypto" is not the terms behind the secret foil, but their encryption codes.	0		nicht-NP
1816	-0.173	In anderen Regionen, die nicht vom Tsunami getroffen wurden, gab es die Fehlinformation, dass ein Tsunami auf die Region trifft und sie sind auf die umliegenden Berge gerannt.	In other regions not affected by the tsunami, there was false information about a tsunami hitting the region and they ran to the surrounding hills.	In other regions that were not hit by the tsunami, there was the misinformation that a tsunami was hitting the region and they ran to the surrounding mountains.	0		nicht-V
466	-0.153	Und der Hammer ist: All die Verkaufsregale voll exklusiver Produkte sind für den Anlass nicht ausgeräumt worden.	And the highlight is: that the shop shelves have not been cleared of the exclusive products for the event.	And the hammer is: All the sales shelves full of exclusive products have not been cleared out for the occasion.	0		nicht-V
1122	-0.122	Das Pseudonym ist allerdings keine Neuigkeit.	However, the pseudonym is not news.	The pseudonym is not news, however.	0		kein
17	-0.12	Der DFB-Chef wiederholte seine Kritik an Özil, dass dieser nicht für ein Gespräch mit Bundestrainer Joachim Löw und Teammanager Oliver Bierhoff bereit sei.	The DFB head repeated his criticism of Özil and that he is not ready for a discussion with national coach and team manager Oliver Bierhoff.	The DFB chief repeated his criticism of Özil for not being ready for a conversation with national coach Joachim Löw and team manager Oliver Bierhoff.	0		nicht-ADJ
478	-0.117	Er wird nicht angequatscht, nicht begafft, man schielt höchstens verstohlen.	He is not talked into, not gaped at, at the most he receives stealthy glances.	He is not gossiped at, he is not gawked at, at most he is stealthily squinting.	0		nicht-V
914	-0.088	Um aber konstruktiv zu sein, darf Streit nicht wieder aus parteitaktischen Gründen zur Frage von Sein oder Nichtsein aufgebauscht werden.	But to be constructive, dispute should not be exaggerated again for party tactical reasons regarding the question of being or not-being.	In order to be constructive, however, disputes must not again be exaggerated for party-tactical reasons into the question of being or not being.	0		nicht-V, nicht-pref
1327	-0.065	Statt am heutigen Samstag werde die Ministerin erst am Montag vor der Vollversammlung der Vereinten Nationen sprechen, teilte ihr Sprecher Adam Austen mit.	Instead of today, Saturday, the minister will not speak before the United Nations general assembly until Monday, shared her spokesperson Adam Austen.	Instead of this Saturday, the minister will not address the United Nations General Assembly until Monday, her spokesman Adam Austen said.	0		lexical (erst am Montag)
926	-0.045	Sie gehe davon aus, "dass die Ministerin nur ihre Begeisterung über den Einsatz ihres Teams zum Ausdruck bringen und keinesfalls Verstöße gegen geltendes Dienstrecht vor laufenden Kameras verkünden wollte".	She assumes that ‘the minister is only trying to express her enthusiasm about the engagement of her team, and did not intend to convey any possible violations of the labor law with the cameras rolling’.	She said she believed "the minister only wanted to express her enthusiasm for the deployment of her team and in no way to announce breaches of applicable service law in front of running cameras."	0		keinesfalls
1451	-0.043	Sie gaben uns nichts zu essen, wir mussten aus der Latrine trinken.	They didn't give us anything to eat. We had to drink out of the latrine.	They gave us nothing to eat, we had to drink from the latrine.	0		nichts
1879	-0.036	Das war im Heimspiel gegen Mainz 05 nicht anders.	The home game against Mainz 05 was no different.	It was no different in the home game against Mainz 05.	0		nicht-ADJ
133	-0.028	Wir werden nicht zulassen, dass Sympathisanten der PKK oder Gülen-Bewegung unsere Bürger erschüttern und der deutsch-türkischen Freundschaft schaden", sagte er.	We will not allow sympathizers of the PKK or Gülen movement to unsettle our citizens and damage the German/Turkish friendship’, he said.	We will not allow sympathizers of the PKK or Gülen movement to upset our citizens and harm German-Turkish friendship, "he said.	0		nicht-V
1964	-0.012	Wahrscheinlích weiß Naldo, der in der vergangenen Saison als bester Schalker gefeiert wurde, dass er bei seinem Trainer tatsächlich nicht aufs Abstellgleis geraten ist - sondern aus gutem Gründen eine Pause erhält.	Naldo, who was awarded best Schalke player last season, probably knows that he is actually not going to be stuck on the bench - he does have a good reason for this break.	Probably Naldo, who was celebrated as the best Schalke player last season, knows that he is actually not on the sidelines with his coach - but gets a break for good reason.	0		nicht-PP
696	-0.009	Ferrari machte im ersten Halbjahr mit jedem verkauften Auto 69.000 Euro Betriebsgewinn - Jaguar Land Rover dagegen kommt nur auf rund 800 Euro, Tesla und Bentley legen sogar bei jedem Auto kräftig drauf.	Within the first half of year Ferrari got 69,000 euros of business profit for each sold car, Jaguar Land Rover only comes to around 800 euros, whereas Tesla and Bentley do not put emphasis on their income from each car.	Ferrari made an operating profit of 69,000 euros for each car sold in the first half of the year - Jaguar Land Rover, on the other hand, only makes around 800 euros, while Tesla and Bentley even make a big profit on each car.	1	not sure that either quite gets it right // according to my human source, Tesla and Bentley are losing heftily on every car - "drauflegen" generally indicates running a loss, subsidizing something	no negation in source - sogar (in contrast to the others)
389	-0.009	Das bricht uns nicht das Genick.	That was not our undoing.	It doesn't break our neck.	0	same meaning, but figurative expression	nicht-V
882	-0.004	"Das kann ich fast 30 Jahre nach der Deutschen Einheit niemandem erklären", sagte Schwesig.	This is inexplicable, nearly 30 years after the German Unification, said Schwesig.	"Almost 30 years after German unification, I can't explain that to anyone," Schwesig said.	0		neimand
